バージョン,タイトル,ジャンル,アーティスト,プレー回数,BEGINNER 難易度,BEGINNER スコア,BEGINNER PGreat,BEGINNER Great,BEGINNER ミスカウント,BEGINNER クリアタイプ,BEGINNER DJ LEVEL,NORMAL 難易度,NORMAL スコア,NORMAL PGreat,NORMAL Great,NORMAL ミスカウント,NORMAL クリアタイプ,NORMAL DJ LEVEL,HYPER 難易度,HYPER スコア,HYPER PGreat,HYPER Great,HYPER ミスカウント,HYPER クリアタイプ,HYPER DJ LEVEL,ANOTHER 難易度,ANOTHER スコア,ANOTHER PGreat,ANOTHER Great,ANOTHER ミスカウント,ANOTHER クリアタイプ,ANOTHER DJ LEVEL,LEGGENDARIA 難易度,LEGGENDARIA スコア,LEGGENDARIA PGreat,LEGGENDARIA Great,LEGGENDARIA ミスカウント,LEGGENDARIA クリアタイプ,LEGGENDARIA DJ LEVEL,最終プレー日時
1st&substream,22DUNK,TECHNO,SLAKE,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,5,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2025-09-19 20:05
1st&substream,5.1.1.,PIANO AMBIENT,dj nagureo,0,0,0,0,0,---,NO PLAY,---,1,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2025-09-19 20:05
1st&substream,deep in you,DANCE POP,dj nagureo,0,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,HARD CLEAR,---,0,0,0,0,---,NO PLAY,---,2025-09-19 20:05
1st&substream,GAMBOL,BIG BEAT,SLAKE,0,0,0,0,0,---,NO PLAY,---,2,0,0,0,---,NO PLAY,---,2,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2025-09-19 20:05
1st&substream,GENOM SCREAMS,TRANCE,L.E.D. LIGHT,0,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,HARD CLEAR,---,0,0,0,0,---,NO PLAY,---,2025-09-19 20:05
1st&substream,GRADIUSIC CYBER,DIGI-ROCK,TAKA,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,9,0,0,0,---,HARD CLEAR,---,0,0,0,0,---,NO PLAY,---,2025-09-19 20:05
1st&substream,KEEP ON MOVIN',DANCE POP,N.M.R.,0,0,0,0,0,---,NO PLAY,---,2,0,0,0,---,FULLCOMBO CLEAR,---,3,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2025-09-19 20:05
1st&substream,Macho Gang,TRIBAL HOUSE,ANAL SPYDER,0,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,11,0,0,0,---,HARD CLEAR,---,11,0,0,0,---,HARD CLEAR,---,0,0,0,0,---,NO PLAY,---,2025-09-19 20:05
1st&substream,PARANOIA MAX～DIRTY MIX～,JUNGLE,190,0,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,ASSIST CLEAR,---,0,0,0,0,---,NO PLAY,---,2025-09-19 20:05
1st&substream,R3,RAVE,tiger YAMATO,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,HARD CLEAR,---,0,0,0,0,---,NO PLAY,---,2025-09-19 20:05
1st&substream,RUGGED ASH,FUTURE JAZZ,SYMPHONIC DEFOGGERS,0,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,9,0,0,0,---,FULLCOMBO CLEAR,---,12,0,0,0,---,EX HARD CLEAR,---,2025-09-19 20:05
1st&substream,THE EARTH LIGHT,TRANCE,L.E.D. LIGHT,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,HARD CLEAR,---,7,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2025-09-19 20:05
2nd style,.59,CHILL OUT,dj TAKA,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,7,0,0,0,---,HARD CLEAR,---,0,0,0,0,---,NO PLAY,---,2025-09-19 20:05
