pack_code,pack_name,display_order
inf_pack_vol_29,"楽曲パック vol.29( 32 Pinky Crush + スペシャルセレクション )",42
inf_pack_gitadora_selection_vol_01,"GITADORA セレクション 楽曲パック vol.1",41
inf_pack_vol_28,"楽曲パック vol.28( 31 EPOLIS + スペシャルセレクション )",40
inf_pack_sound_voltex_selection_vol_02,"SOUND VOLTEX セレクション 楽曲パック vol.2",39
inf_pack_vol_27,"楽曲パック vol.27( 31 EPOLIS + スペシャルセレクション )",38
inf_pack_vol_26,"楽曲パック vol.26( 30 RESIDENT )",37
inf_pack_ultimate_mobile_selection_vol_01,"ULTIMATE MOBILE セレクション 楽曲パック vol.1",36
inf_pack_bpl_selection_vol_02,"BPL セレクション 楽曲パック vol.2",35
inf_pack_vol_25,"楽曲パック vol.25( 30 RESIDENT + スペシャルセレクション )",34
inf_pack_touhou_project_selection_vol_01,"東方Project セレクション 楽曲パック vol.1",33
inf_pack_vol_24,"楽曲パック vol.24( 29 CastHour )",32
inf_pack_vol_23,"楽曲パック vol.23( 29 CastHour + スペシャルセレクション )",31
inf_pack_vol_22,"楽曲パック vol.22( 28 BISTROVER )",30
inf_pack_popn_music_selection_vol_02,"pop'n music セレクション 楽曲パック vol.2",29
inf_pack_vol_21,"楽曲パック vol.21( 28 BISTROVER )",28
inf_pack_vol_20,"楽曲パック vol.20( 27 HEROIC VERSE )",27
inf_pack_vol_19,"楽曲パック vol.19( 27 HEROIC VERSE + BPL S2セレクション )",26
inf_pack_sound_voltex_selection_vol_01,"SOUND VOLTEX セレクション 楽曲パック vol.1",25
inf_pack_vol_18,"楽曲パック vol.18( 26 Rootage + セレクション )",24
inf_pack_vol_17,"楽曲パック vol.17( 26 Rootage )",23
inf_pack_bpl_selection_vol_01,"BPL セレクション 楽曲パック vol.1",22
inf_pack_jubeat_selection_vol_01,"jubeat セレクション 楽曲パック vol.1",21
inf_pack_vol_16,"楽曲パック vol.16( 26 Rootage )",20
inf_pack_startup_selection_vol_03,"スタートアップセレクション 楽曲パック vol.3",19
inf_pack_vol_15,"楽曲パック vol.15( 25 CANNON BALLERS )",18
inf_pack_startup_selection_vol_02,"スタートアップセレクション 楽曲パック vol.2",17
inf_pack_vol_14,"楽曲パック vol.14( 25 CANNON BALLERS )",16
inf_pack_popn_music_selection_vol_01,"pop'n music セレクション 楽曲パック vol.1",15
inf_pack_startup_selection_vol_01,"スタートアップセレクション 楽曲パック vol.1",14
inf_pack_vol_13,"楽曲パック vol.13( 24 SINOBUZ )",13
inf_pack_vol_12,"楽曲パック vol.12( 24 SINOBUZ )",12
inf_pack_vol_11,"楽曲パック vol.11( 23 copula )",11
inf_pack_vol_10,"楽曲パック vol.10( 23 copula )",10
inf_pack_vol_09,"楽曲パック vol.9( 22 PENDUAL )",9
inf_pack_vol_08,"楽曲パック vol.8( 22 PENDUAL )",8
inf_pack_vol_07,"楽曲パック vol.7( 21 SPADA )",7
inf_pack_vol_06,"楽曲パック vol.6( 21 SPADA )",6
inf_pack_vol_05,"楽曲パック vol.5( 20 tricoro + セレクション )",5
inf_pack_vol_04,"楽曲パック vol.4( 20 tricoro + The 8th KAC )",4
inf_pack_vol_03,"楽曲パック vol.3( 20 tricoro )",3
inf_pack_vol_02,"楽曲パック vol.2( 19 Lincle + The 7th KAC )",2
inf_pack_vol_01,"楽曲パック vol.1( 19 Lincle )",1
