textage_id,title_canon,alias,alias_scope,alias_type,note
_59,.59,0.59,ac,manual,
19novem,"19,November",19，November,ac,manual,
lamour31,L'amour et la liberté,L'amour et la libert?,ac,manual,
lamour31,L'amour et la liberté,L'amour et la liberte,ac,manual,
lvshine,LOVE♥SHINE,LOVE SHINE,ac,manual,
swmagic,Sweet Sweet ♥ Magic,Sweet Sweet Magic,ac,manual,
raspbery,Raspberry♥Heart (English version),Raspberry Heart(English version),ac,manual,
dbloving,Double ♥♥ Loving Heart,Double Loving Heart,ac,manual,
blindjus,"Blind Justice ～Torn souls,Hurt Faiths～",Blind Justice ～Torn souls， Hurt Faiths ～,ac,manual,
ubertref,Übertreffen,Ubertreffen,ac,manual,
punch_lv,Punch Love ♥ 仮面,Punch Love 仮面,ac,manual,
raison,Raison d'être ～交差する宿命～,Raison d'etre～交差する宿命～,ac,manual,
fffff,fffff,fffff,ac,manual,
praludim,Präludium,Praludium,ac,manual,
_kyatora,キャトられ♥恋はモ～モク,キャトられ恋はモ～モク,ac,manual,
_aether,ÆTHER,ATHER,ac,manual,
_cholove,超!!遠距離らぶ♥メ～ル,超!!遠距離らぶメ～ル,ac,manual,
_s_dogma,旋律のドグマ ～Misérables～,旋律のドグマ～Miserables～,ac,manual,
_hyouri,表裏一体!?怪盗いいんちょの悩み♥,表裏一体！？怪盗いいんちょの悩み,ac,manual,
_gyogyo,ギョギョっと人魚♨爆婚ブライダル,ギョギョっと人魚 爆婚ブライダル,ac,manual,
_hoenka,焱影,火影,ac,manual,
_viva,¡Viva!,!Viva!,ac,manual,
amorvera,Amor De Verão,Amor De Verao,ac,manual,
blossom,BLO§OM,BLOSSOM,ac,manual,
code_0,CODE:Ø,CODE:0,ac,manual,
geirsko,Geirskögul,Geirskogul,ac,manual,
machomnky,Mächö Mönky,Macho Monky,ac,manual,
rock_on,"ROCK女 feat. 大山愛未, Ken",ROCK女 feat. 大山愛未， Ken,ac,manual,
xlo,Xlø,Xlo,ac,manual,
dansnuit,Dans la nuit de l'éternité,Dans la nuit de l'eternite,ac,manual,
ignis,Ignis†Iræ,Ignis†Irae,ac,manual,
parvati,Pārvatī,Parvati,ac,manual,
plkmania,POLꞰAMAИIA,POLKAMANIA,ac,manual,
getsetgo,"Get set, Go! feat.Kanae Asaba",Get set， Go! feat.Kanae Asaba,ac,manual,
oulegen,Ōu Legends,Ou Legends,ac,manual,
rinne,RINИE,RINNE,ac,manual,
void,VØID,VOID,ac,manual,
act0,ACTØ,ACT0,ac,manual,
fermipdx,FERMI♡PARADOX,FERMI PARADOX,ac,manual,
flamingo,Flämingo,Flamingo,ac,manual,
rspotion,Raspberry Potion (feat.あれたん♡ & ぎゃるのしん☆),Raspberry Potion (feat.あれたん & ぎゃるのしん☆),ac,manual,
uaigh,Uaigh Gealaí,Uaigh Gealai,ac,manual,
_uen,uən,uen,ac,manual,
_oddlovy,オッド♡ラヴィ,オッドラヴィ,ac,manual,
_saikyo,最強頂戴girl♡,最強頂戴girl,ac,manual,
fizzyptn,FiZZλ_PØT!0И,FiZZλ_POT!0N,ac,manual,
spacebsp,Space Battleship S4TØ,Space Battleship S4TO,ac,manual,
_kareinr,華麗なる！音戯探偵ひなビタ♫,華麗なる！音戯探偵ひなビタ,ac,manual,
