textage_id,alias,alias_scope,alias_type,note
_viva_,!Viva!,inf,manual,alias:[¡Viva!]
100mnm_g,100％ minimoo-G,inf,manual,alias:[100% minimoo-G]
19novem,19，November,inf,manual,"alias:[19,November]"
3y3s_l,3y3s(Long ver.),inf,manual,alias:[3y3s (Long ver.)]
a_minstr,A MINSTREL ～ ver. short-scape ～,inf,manual,alias:[A MINSTREL ～ ver.short-scape ～]
act0,ACT0,inf,manual,alias:[ACTØ]
_aether,ATHER,inf,manual,alias:[ÆTHER]
amrverao,Amor De Verao,inf,manual,alias:[Amor De Verão]
anisakis,"Anisakis -somatic mutation type""Forza""-",inf,manual,"alias:[Anisakis -somatic mutation type ""Forza""-]"
bemani4u,B4U(BEMANI FOR YOU MIX),inf,manual,alias:[B4U (BEMANI FOR YOU MIX)]
ballad,BALLAD FOR YOU～想いの雨～,inf,manual,alias:[BALLAD FOR YOU ～想いの雨～]
blossom,BLOSSOM,inf,manual,alias:[BLO§OM]
bahram,Bahram Attack-猫叉Master Remix-,inf,manual,alias:[Bahram Attack -猫叉Master Remix-]
blindjus,Blind Justice ～Torn souls， Hurt Faiths ～,inf,manual,"alias:[Blind Justice ～Torn souls,Hurt Faiths～]"
bloody_t,Bloody Tears(IIDX EDITION),inf,manual,alias:[Bloody Tears (IIDX EDITION)]
code_0,CODE:0,inf,manual,alias:[CODE:Ø]
crosroad,CROSSROAD ～Left Story～,inf,manual,alias:[CROSSROAD]
c_sbk_ra,CaptivAte～裁き～(SUBLIME TECHNO MIX),inf,manual,alias:[CaptivAte～裁き～ (SUBLIME TECHNO MIX)]
citynvrs,City Never Sleeps (IIDX Edition),inf,manual,alias:[City Never Sleeps (IIDX EDITION)]
colors_y,Colors -Y&Co. Eurobeat Remix-,inf,manual,alias:[Colors -Y&Co.Eurobeat Remix-]
dm_star,DM STAR～関西 energy style～,inf,manual,alias:[DM STAR ～関西 energy style～]
dans_la,Dans la nuit de l'eternite,inf,manual,alias:[Dans la nuit de l'éternité]
dazzlinr,Dazzlin' Darlin-秋葉工房mix-,inf,manual,alias:[Dazzlin' Darlin -秋葉工房mix-]
destlvrs,Destiny Lovers,inf,manual,alias:[Destiny lovers]
dbloving,Double Loving Heart,inf,manual,alias:[Double ♥♥ Loving Heart]
geirskog,Geirskogul,inf,manual,alias:[Geirskögul]
getsetgo,Get set， Go! feat.Kanae Asaba,inf,manual,"alias:[Get set, Go! feat.Kanae Asaba]"
